What,Where,When,How_Much
Cphphil Violinstjerne.,"[55.68111589999999, 12.5528412]",1930,210
CopenOpen poetry slam.,"[55.67636659999999, 12.5747082]",1930,30
Dodo &amp; the Dodo's.,"[55.65525909999999, 12.2956019]",2000,275
Søs Fenger.,"['None', 'None']",2000,200
Nils Frahm (de).,"[55.6680529, 12.5439823]",2000,270
Dansefest Med Blast.,"[55.666846, 12.5762349]",2000,225
Corroded.,"[55.677125, 12.5651939]",2000,195
Carl Emil Petersen - Solo.,"[55.68181879999999, 12.4566722]",2000,
Zier Romme Larsen Kvartet // Vinterjazz 2018.,"[55.6467245, 12.5300743]",2100,60
Dorado Schmitt All Star Quintet - gypsy/jazz.,"[55.6808557, 12.5331994]",2100,165
Guds nåde er en vintergæk.,"[55.679125, 12.577278]",2100,
Maleek Berry (NG/UK).,"[55.691235, 12.5592894]",None,
Orgelmatiné.,"[55.67933859999999, 12.5723587]",0000,
Wallace/Wamberg/Petri Trio.,"[55.68379270000001, 12.5762312]",1430,100
Bachs genbrug / Concerto Copenhagen.,"[55.6817515, 12.5894416]",1600,200
Jazz: Moderne Big Bands.,"[55.731266, 12.4998206]",1900,
Lady Gaga - Joanne World Tour.,"[55.6252114, 12.5736741]",1930,430
Det Åbne Hus spiller op til folkedans på Stades Krog 9.,"[55.7735008, 12.5004462]",2000,40
Ester Brohus.,"[55.68181879999999, 12.4566722]",2000,
TOTO - 40 Trips Around The Sun Tour.,"[55.681116, 12.552841]",2000,435
Girls in Airports.,"[55.6575405, 12.5905654]",2000,145
Electric Guitars.,"[55.7700496, 12.4996326]",2100,175
Roben og Knud.,"['None', 'None']",2100,
New Orleans Remixed - Beats and Beads feat. Rosa Lux/Sasha Masakowski/Johan Bylling Lang (US/DK).,"[55.666846, 12.5762349]",2100,100
1/2 12 Koncerter.,"[55.686089, 12.533412]",1130,90
Jazz Menu - Forår 2018.,"['None', 'None']",1300,110
Kastelskirkens Søndagskoncerter.,"['None', 'None']",1400,
Katrine Bille med band.,"[55.68181879999999, 12.4566722]",1400,115
Daniel Waade.,"[55.6729387, 12.5942102]",1500,
Emil Gryesten: Pianist. 5. koncert i Lyngby Taarbæk Musikforening.,"[55.773331, 12.498974]",1600,130
Forførende fløjtetoner.,"[55.7106939, 12.4847902]",1600,
Wiener Johann Strauss Konzert-Gala.,"[55.6575405, 12.5905654]",1930,300
Sinne Eeg.,"[55.6575405, 12.5905654]",2000,245
De 12 Tenorer.,"[55.682018, 12.6006229]",2000,125
"Kammermusikforeningen af 1911, Copenhagen Piano Quartet.","[55.6817515, 12.5894416]",1930,130
Studiekoncert i Jesuskirken.,"[55.6654631, 12.5221597]",1930,
Belle &amp; Sebastian.,"[55.6575405, 12.5905654]",2000,285
Barbara Moleko.,"[55.65525909999999, 12.2956019]",2000,235
Musikalsk underholdning med Marete Ruud Hansen.,"[55.6636925, 12.3940946]",1330,30
Jens Jacob Tychsen og Henrik Krogsgaard.,"[55.5933194, 12.6720892]",1800,435
Syng Sammen Aften.,"[None, None]",1930,
Copenhagen Washboard Five.,"[55.7597679, 12.3389448]",1930,
Rejse gennem Danmark.,"[55.7395721, 12.4933224]",1930,
