What,Where,When,How_Much
Stig Rossen &amp; Vennerne.,"[55.68534, 12.551789]",1330,175
De Skønneste Kor.,"[55.6575405, 12.5905654]",1500,
"Riel/pasborg ""universe"" Feat. Annisette, Jobarteh M.fl.","['None', 'None']",2000,295
Persefone (AD).,"[55.6680529, 12.5439823]",2100,175
The van.,"[55.7700496, 12.4996326]",2100,160
Miss Sway.,"[55.68181879999999, 12.4566722]",0000,
Jazz Menu - Forår 2018.,"['None', 'None']",1300,110
Søndagsbal med Rødovre Palmehaveorkester.,"[55.6826581, 12.4667842]",1400,50
Din Danske Sang.,"[55.6575405, 12.5905654]",1500,
Nulle og Verdesnorkestret.,"[55.6716512, 12.5900008]",1500,100
Violin- og orgelkoncert.,"[55.691864, 12.5345859]",1600,
Klaverduo Kolarova-Gryesten.,"[55.5959324, 12.6369114]",1600,
Palæ Bar Jazz.,"[None, None]",1700,
Slick Rick.,"[55.6680529, 12.5439823]",2000,425
The Simon &amp; Garfunkel Story.,"[55.6568846, 12.3557788]",1930,365
Ivan Pedersen &amp; Trio.,"['None', 'None']",2000,225
Anne-marie.,"[55.6680529, 12.5439823]",2000,220
Chris Minh Doky.,"[55.65525909999999, 12.2956019]",2000,185
Peter Broderick (US).,"[55.6680687, 12.5444302]",2000,165
Julie Berthelsen - Fra radioen til Beghusets skrå brædder.,"[55.5933194, 12.6720892]",1800,418
Charlotte Fich: Tæt på musikken.,"['None', 'None']",1930,125
Den nye sangskat.,"[55.7395721, 12.4933224]",1930,
Hanne Boel.,"[None, None]",2000,270
Saveus.,"[55.68181879999999, 12.4566722]",2000,
Benal (dk) - Få Billetter.,"[55.6680529, 12.5439823]",2000,225
Uffe Steen Trio og Vestbo Trio.,"[55.666846, 12.5762349]",2030,120
Courtney Marie Andrews (US).,"[55.6680529, 12.5439823]",2100,160
Macelaru &amp; Joshua Bell.,"[55.6575405, 12.5905654]",1930,85
Ramslag Folkets Hus Spillefolk.,"[55.686089, 12.533412]",2000,30
Maria Montell.,"['None', 'None']",2000,195
Copenhagen Latin Festival 2017.,"[55.68609, 12.556717]",2000,100
Rust Live.,"[55.691235, 12.5592894]",2030,
Heidra + Genfærd + Cruelty's Heart.,"['None', 'None']",2030,95
Late Night Venture + The Foreign Resort + A Horrible Death To A Horrible Man.,"[55.6865864, 12.4914135]",2030,70
Get Your Gun på Loppen.,"[55.673854, 12.597078]",2100,95
Jon Nørgaard.,"['None', 'None']",2100,200
Milky Chance.,"[55.6680529, 12.5439823]",2100,230
Marvelous Mosell.,"[55.677125, 12.5651939]",2100,190
Moddi (NO).,"[55.6915274, 12.560277]",2100,100
"""Noche Cubana"" i Råhuset m/DJ Rene.","[55.669638, 12.560644]",2100,50
Temple Of Doom Præsenterer: The Good the Bad and the Zugly+Nightfever.,"[55.7700496, 12.4996326]",2100,100
Hold Kæft Og Rap #3.,"[55.6578915, 12.3563706]",2100,99
Single Rocks store Julefest med band efter 21:00.,"[55.701021, 12.53664]",2100,21
Whole Lotta Hank - Hank Williams Evergreens.,"[55.6837677, 12.5246214]",2100,
Trouble Cats.,"[55.6756788, 12.5735544]",2200,80
Bobby Bovell &amp; the public secret.,"[55.6736932, 12.5994089]",2200,60
Wavy.,"[55.691235, 12.5592894]",2300,
1/2 12 Koncerter.,"[55.686089, 12.533412]",1130,90
"Søndagsjazz på B9 Vinbar med Morten Højring, Jacob Roland, Ludvig Puggaard-Müller og andre.","['None', 'None']",1400,
Koncert i Solgårdens Café.,"[55.788641, 12.458762]",1430,
Alberte Winding og band.,"[55.6865864, 12.4914135]",2030,180
Sunflower Bean.,"[55.673854, 12.597078]",2100,80
Freddy And The Phantoms.,"['None', 'None']",2100,95
Yasmin & Jakob Dinesen.,"[55.7589175, 12.5968742]",0030,490
Macelaru &amp; Joshua Bell.,"[55.6575405, 12.5905654]",1500,85
Satie med venner 2018 - Forårskoncert.,"[55.686089, 12.533412]",1500,100
Erann DD.,"[55.77217899999999, 12.560372]",1900,620
Opvisning og fællesdans.,"[55.7243297, 12.4341345]",1900,0
Bisse (DK).,"[55.6680529, 12.5439823]",2000,225
Billy Boy In Poison + Livløs.,"[55.6865864, 12.4914135]",2030,70
Best of Bowie.,"[55.64195900000001, 12.4784213]",2100,150
Hush.,"[55.68181879999999, 12.4566722]",2100,220
"Arild Kvartetten spiller Beethoven, LvB#3.","[55.6794587, 12.5862154]",0000,200
Jazz Menu - Forår 2018.,"['None', 'None']",1300,110
Wardruna.,"[55.6575405, 12.5905654]",2000,345
Marlon Williams (NZ).,"[55.6680687, 12.5444302]",2000,105
Pianist Gilbert de Greeve.,"[55.6460586, 12.3076324]",1930,
Gilbert de Greeve.,"[55.6493233, 12.2051024]",1930,60
2 korte film fra audiovisuel antropologi v. Sebastian Lowe.,"[55.686089, 12.533412]",1930,
Bachs fire orkestersuiter / Concerto Copenhagen.,"[55.6817515, 12.5894416]",2000,200
Gengahr (UK).,"[55.6680687, 12.5444302]",2000,140
Onsdags-jazz på Lipperts.,"[55.6517012, 12.3037462]",1800,
Koncert med Kim Sjøgren.,"['None', 'None']",1930,
Dansk Selskab For Russisk Musik.,"[55.686089, 12.533412]",2000,100
Node (dk).,"[55.6680529, 12.5439823]",2100,165
Fra Elizabeth I til Elizabeth II - 400 års engelsk kirkemusik.,"[55.6817515, 12.5894416]",1930,85
Majken &amp; Fjeldtetten.,"[55.7597679, 12.3389448]",1930,
Hush.,"[55.6575405, 12.5905654]",2000,245
"Billy Cross, Musikalsk talkshow.","['None', 'None']",2000,150
The Selecter &amp; The Beat.,"[55.6680529, 12.5439823]",2000,
Medina.,"[55.7589175, 12.5968742]",1900,1220
Luisi &amp; Bruckners 7.,"[55.6575405, 12.5905654]",1930,85
Cphphil Dvorak.,"[55.68111589999999, 12.5528412]",1930,210
Sam Smith Udsolgt/venteliste.,"[55.6252114, 12.5736741]",2000,400
C.v. Jørgensen - Venteliste.,"[55.6680529, 12.5439823]",2000,450
Route 66 - 60'er musik - Ingvar & Bandet.,"[55.8155789, 12.4025647]",2030,100
Silvester.,"[55.6575405, 12.5905654]",2100,150
Satie med venner 2018 - 10-års jubilæumskoncert.,"[55.686089, 12.533412]",1500,150
Michael Learns To Rock.,"[55.6794587, 12.5862154]",2000,300
Die Reeperbahn - Hyldest til Tom Waits.,"['None', 'None']",2000,125
Thirty Seconds To Mars.,"[55.6711643, 12.6203919]",2000,410
C.v. Jørgensen - Venteliste.,"[55.6680529, 12.5439823]",2000,
The Van.,"[55.673854, 12.597078]",2100,149
Mathilde Falch m Band.,"[55.666846, 12.5762349]",2100,140
Malko 2018.,"[55.6575405, 12.5905654]",0000,50
Schubert - Die schöne Müllerin.,"[55.5959324, 12.6369114]",1600,
Series of Four - DSQ+.,"[55.68221, 12.5525251]",1930,120
Niall Horan - Flicker World Tour 2018 - Udsolgt/venteliste.,"[55.6680529, 12.5439823]",2000,450
Malko 2018.,"[55.6575405, 12.5905654]",1000,50
"Niels Hausgaard ""på Egen Hånd"".","[55.6738385, 12.5685115]",1930,295
3 wienerklassiske koncerter - Mozart/Haydn. 7. koncert i Lyngby Taarbæk Musikforening.,"[55.773331, 12.498974]",2000,130
Scott Bradlee's Postmodern Jukebox (US).,"[55.6680529, 12.5439823]",2000,395
Postmodern Jukebox Gold VIP Pakke.,"[55.6680529, 12.5439823]",2001,
Malko 2018.,"[55.6575405, 12.5905654]",1000,50
"Niels Hausgaard ""på Egen Hånd"".","[55.6738385, 12.5685115]",1930,295
Malko 2018.,"[55.6575405, 12.5905654]",1000,50
Jeannet Ulrikkeholm.,"[55.6636925, 12.3940946]",1900,
"Niels Hausgaard ""på Egen Hånd"".","[55.6738385, 12.5685115]",1930,295
Hanne Boel - Live 2018.,"[55.68181879999999, 12.4566722]",2000,
Jacob Bellens (DK).,"[55.6680529, 12.5439823]",2000,250
Klumben og Raske Penge (DK).,"[55.6680529, 12.5439823]",2100,165
Forårsfest.,"[55.7395721, 12.4933224]",1900,
CPHPHIL Strauss og mesterværkerne.,"[55.68111589999999, 12.5528412]",1930,210
"Niels Hausgaard ""på Egen Hånd"".","[55.6738385, 12.5685115]",1930,295
Lauv.,"[55.677125, 12.5651939]",2000,180
Noah Carter (DK).,"[55.6680529, 12.5439823]",2000,180
Malko 2018.,"[55.6575405, 12.5905654]",1830,48
"Niels Hausgaard ""på Egen Hånd"".","[55.6738385, 12.5685115]",1900,295
Østkyst Hustlers.,"[55.68181879999999, 12.4566722]",2100,195
Petri/Hannibal - instrumentalister i verdensklasse.,"[55.678747, 12.498775]",1430,
"Niels Hausgaard ""på Egen Hånd"".","[55.6738385, 12.5685115]",1900,295
Turboweekend (DK).,"[55.6680529, 12.5439823]",2000,250
Jacob Dinesen.,"[55.681116, 12.552841]",2000,350
Jazz Menu - Forår 2018.,"['None', 'None']",1300,110
Palæ Bar Jazz.,"[None, None]",1700,
Wiener Filharmonikerne.,"[55.6575405, 12.5905654]",1930,248
Asaf Avidan (IL).,"[55.6680529, 12.5439823]",2000,250
Claudiuskorets forårskoncert.,"[55.691864, 12.5345859]",1930,
Farinelli vs. Senesino / Concerto Copenhagen.,"[55.6817515, 12.5894416]",2000,200
Chris Minh Doky.,"[55.6680529, 12.5439823]",2000,250
Arrangement.,"[55.6966243, 12.5446128]",1100,
1. maj med farverige strygekvartetter.,"['None', 'None']",1930,90
Trio con Brio &amp; DiamantEnsemblet.,"[55.6733994, 12.5826588]",2000,150
Machine Head (US) - Catharsis World Tour 2018.,"[55.6680529, 12.5439823]",2000,350
Jam-session på Lipperts.,"[55.6517012, 12.3037462]",1800,
Mirja Klippel (50/50 koncert).,"['None', 'None']",1930,55
Dreamers' Circus.,"[55.7305364, 12.3522152]",2000,140
Shame (uk).,"[55.677125, 12.5651939]",2100,
Anne Linnet.,"[55.7589175, 12.5968742]",1900,1020
RubberBand - 110% Beatles.,"[55.68181879999999, 12.4566722]",2000,130
B l a s t !!!,"[55.8155789, 12.4025647]",2100,260
Social Club.,"[55.666846, 12.5762349]",2100,150
Incognito.,"[55.7186459, 12.5979103]",1830,
Moonjam.,"[55.77217899999999, 12.560372]",1900,620
Niels Skousen (DK).,"[55.6680529, 12.5439823]",2000,190
I'm With Her (US).,"[55.6915274, 12.560277]",2100,150
Ought live på Loppen.,"[55.673854, 12.597078]",2100,140
Himmerland feat. Mairi Campbell.,"[55.7305364, 12.3522152]",1930,140
Eden.,"[55.677125, 12.5651939]",2100,210
Collon &amp; Mahlers 10.,"[55.6575405, 12.5905654]",1930,73
Die Herren.,"[55.65525909999999, 12.2956019]",2000,205
Lilly Hiatt (US).,"[55.6680687, 12.5444302]",2000,135
Fil Bo Riva (it).,"[55.6680687, 12.5444302]",2000,105
The Almost Family Choir.,"[55.686089, 12.533412]",1930,
Onsdags-jazz på Lipperts.,"[55.6517012, 12.3037462]",1800,
Olöf Arnalds & Skuli Sverrisson (IS).,"[None, None]",2000,110
Mena &amp; Mozart.,"[55.6575405, 12.5905654]",1930,85
Arena (UK).,"['None', 'None']",1930,195
Ramslag Folkets Hus Spillefolk.,"[55.686089, 12.533412]",2000,30
Starboys Go Jazzy.,"[55.7589175, 12.5968742]",0030,490
Mena &amp; Mozart.,"[55.6575405, 12.5905654]",1500,85
Det Åbne Hus spiller op til folkedans på Stades Krog 9.,"[55.7735008, 12.5004462]",2000,40
Mike Tramp &amp; Band of Brothers.,"[55.68181879999999, 12.4566722]",2100,
Depeche Mode Fest feat: Enjoy The Silence Live.,"[55.666846, 12.5762349]",2100,125
Skar's Blues Band spiller på Havnehytten ved Lyngby sø.,"[55.7733084, 12.4951887]",1430,
Erlend Viken Trio.,"[55.7305364, 12.3522152]",2000,140
Baltic Crossing.,"[55.7305364, 12.3522152]",2000,140
Musicalpremiere.,"[55.721258, 12.528307]",1900,
Route 66 - 60'er musik - Chimbo's Revival og Wild Wax Combo.,"[55.8155789, 12.4025647]",2030,100
Vi Elsker 90'erne - Verdens Største 90'er fest 2018.,"[55.6751053, 12.4336853]",1100,374
Vox Absona.,"[55.678747, 12.498775]",0030,
Musicalforestilling.,"[55.721258, 12.528307]",1600,
Opera på Amfi Hvidovre: Nordic Singers.,"[55.637176, 12.448124]",0000,
Palæ Bar Jazz.,"[None, None]",1700,
Rita ora.,"[55.6680529, 12.5439823]",2000,240
Sommertid I Søndermarken.,"[55.669163, 12.5249112]",1600,
Game Of Thrones: Live Concert Experience - Featuring Ramin Djawadi.,"[55.6252114, 12.5736741]",2000,380
The Vamps (UK).,"[55.6680529, 12.5439823]",2000,250
Sommertid I Søndermarken.,"[55.669163, 12.5249112]",1600,
Rasmus Seebach Familiekoncert.,"[55.645393, 12.5207905]",1700,165
Elvis In Concert - Live on Screen.,"[55.681116, 12.552841]",2000,
Iron Maiden - Legacy Of The Beast Tour.,"[55.6252114, 12.5736741]",2000,
Jam-session på Lipperts.,"[55.6517012, 12.3037462]",1800,
3 i 1 koncert.,"[55.6608674, 12.6053029]",2000,
Rasmus Walter.,"[55.7589175, 12.5968742]",1900,1020
Katy Perry - Witness The Tour.,"[55.6252114, 12.5736741]",1930,360
The Tribe.,"[55.7589175, 12.5968742]",0030,490
Nattens Tivoli - familiekoncert.,"[55.672828, 12.5685453]",1500,155
Nattens Tivoli - familiekoncert.,"[55.672828, 12.5685453]",1500,155
DR PigeKorets midsommer.,"[55.6575405, 12.5905654]",1600,
DR PigeKorets midsommer.,"[55.6575405, 12.5905654]",1830,98
Michaela Fukacová: Cello. 8. koncert i Lyngby Taarbæk Musikforening.,"[55.780023, 12.480222]",1930,130
Sommerkoncert med Godspel.,"[55.671907, 12.5552659]",1930,
Runrig - The Final Mile.,"[55.6252114, 12.5736741]",2000,290
André Rieu.,"[55.6252114, 12.5736741]",2000,585
Roger Waters - Us + Them.,"[55.6252114, 12.5736741]",2000,
Roger Waters - Us + Them.,"[55.6252114, 12.5736741]",2000,
Duo Huayra.,"[55.678298, 12.507264]",1500,
Skar's Blues Band spiller på Havnehytten ved Lyngby Sø.,"[55.7733084, 12.4951887]",1430,
"Arild Kvartetten spiller Beethoven, LvB#4.","[55.6794587, 12.5862154]",0000,200
Søndagsbal med Rødovre Palmehaveorkester.,"[55.6826581, 12.4667842]",1400,50
Ramslag Folkets Hus Spillefolk.,"[55.686089, 12.533412]",2000,30
Jeff Lynne's Elo Live 2018.,"[55.6252114, 12.5736741]",2000,480
Chimbos Revival & Ray Ennis.,"[55.8155789, 12.4025647]",2000,
Poul Halberg & Friends.,"[55.666846, 12.5762349]",2100,200
Souvenirs.,"[55.666846, 12.5762349]",2030,125
Nephew - Udsolgt/venteliste.,"[55.6252114, 12.5736741]",2000,285
Søndagsbal med Rødovre Palmehaveorkester.,"[55.6826581, 12.4667842]",1400,50
No More Jack.,"[55.7305364, 12.3522152]",2000,295
Northern Assembly.,"[55.7305364, 12.3522152]",2000,160
"MOZART: Exultate Jubilate, Sinfonia Concertante, Symfoni nr. 40.","[55.6766342, 12.5836015]",1600,210
Shania Twain: Shania NOW Tour.,"[55.6252114, 12.5736741]",1930,500
Fat Freddy's Drop.,"[55.6680529, 12.5439823]",2000,350
Ramslag Folkets Hus Spillefolk.,"[55.686089, 12.533412]",2000,30
"Arild Kvartetten spiller Beethoven, LvB#5.","[55.6794587, 12.5862154]",0000,200
Cliff Richard: 58-18=60th Tour.,"[55.682018, 12.6006229]",2000,695
Sp Just Frost.,"[55.65525909999999, 12.2956019]",2000,185
Søndagsbal med Rødovre Palmehaveorkester.,"[55.6826581, 12.4667842]",1400,50
The Human League (UK).,"[55.6680529, 12.5439823]",2000,325
Ramslag Folkets Hus Spillefolk.,"[55.686089, 12.533412]",2000,30
10 års jubilæumskoncert for Vesterbro Gospelkor.,"[55.671907, 12.5552659]",1930,
Rockakademiet.,"[55.6837677, 12.5246214]",2100,
"Arild Kvartetten spiller Beethoven, LvB#6.","[55.6794587, 12.5862154]",0000,200
Julekoncert 2018 m. Stig Rossen.,"[55.65525909999999, 12.2956019]",1930,430
Monteverdi - Mariavesper.,"[55.6766342, 12.5836015]",1600,210
Jule Ramslag Folkets Hus Spillefolk.,"[55.686089, 12.533412]",1800,30
Jump og blues i Sorgenfri Kirke.,"[55.780023, 12.480222]",1500,100
"Christina von Bülow, Palle Danielsson &amp; Eliot Zigmund Trio.","[None, None]",1500,160
Præstholms Luther-koraler.,"[55.6729387, 12.5942102]",1500,
Trio Satie Salonkoncert.,"[55.6741128, 12.543863]",1500,100
Koncert med Hanne Boel.,"[55.6725191, 12.5872964]",1500,
Koncert med studerende fra Det Kg. Danske Musikkonservatorium.,"[55.684364, 12.541787]",1500,
Jazzet julekoncert.,"[55.7563963, 12.4763035]",1500,
Beethoven Symfoni Nr. 7.,"[55.68111589999999, 12.5528412]",1600,220
Decem Voces - julekoncert.,"[55.6891773, 12.5970079]",1600,
En Guds Gave - Luther og musikken.,"[55.6599728, 12.5196569]",1600,
Conversations - Mads Klindt & Anna Roemer Duo.,"['None', 'None']",1600,50
Julekoncert med Det Danske Drengekors Mandskor.,"[55.736265, 12.5554159]",1600,
AIDS Fondets Julekoncert.,"[55.6815933, 12.5761475]",1600,
Etty Hillesum-forestilling.,"[55.6478938, 12.6049463]",1600,
Morten Pedersen Trio.,"[55.593942, 12.668617]",1600,
"Hva' så, Luther?","[55.6274968, 12.4440618]",1600,
Søndags jam.,"[55.6736932, 12.5994089]",1600,
Velkommen vinter - toner julenat herned.,"[55.686089, 12.533412]",1700,
Søndagsjazz på Axelborg Bodega.,"[55.6754392, 12.5644863]",1700,
Koncert med Hanne Boel.,"[55.6725191, 12.5872964]",1800,
Luthercabaret - Hva´så Luther.,"['None', 'None']",2000,
Made in Aarhus.,"[55.6568846, 12.3557788]",2000,380
The War On Drugs (us).,"[55.6711643, 12.6203919]",2000,
Hun solo.,"[55.6575405, 12.5905654]",2000,170
Händel: Messias.,"[55.67393380000001, 12.5369525]",2000,100
Lindstrøm (no) Live - Flyttet.,"[55.6680687, 12.5444302]",2100,165
Jake green og martin praetorius (dk/de).,"[55.6756788, 12.5735544]",2130,
Syng dig glad - sangeftermiddag.,"[55.6321998, 12.6227412]",1600,30
Mød de klassiske stjernefrø: Johannes Stenberg Olsen.,"[55.68100339999999, 12.5303327]",1700,
Releasekoncert Stig Fogh Andernsen.,"[55.6725191, 12.5872964]",1700,
Lytteklub.,"[55.7320396, 12.5406703]",1700,
Mestre på Mandage X.,"[55.68221, 12.5525251]",1930,
Calan.,"['None', 'None']",1930,125
Moderne Mandag - Ekkozone.,"[55.686089, 12.533412]",1930,150
Sonater for violin og klaver.,"[55.736265, 12.5554159]",1930,150
Julekoncert med Per Nielsen.,"[55.69396, 12.495327]",1930,
Kom og dans eller spil med i Brøndby Spillemandslaug og Dansere.,"[None, None]",1930,
Bruce Guthro - Celtic X-mas tour 2017.,"[55.682018, 12.6006229]",2000,350
Oh Wonder (UK).,"[55.6680529, 12.5439823]",2000,250
Morgan James (US).,"['None', 'None']",2000,270
Joyce Wrice (US).,"[55.6680687, 12.5444302]",2000,165
Julekoncert med kor og orkester fra Aurehøj Gymnasium.,"[55.7343566, 12.5728859]",2000,
Les Voix Humaines Viol Consort - The Art of the Fugue.,"[55.68688880000001, 12.5577921]",2000,100
The Horrors (UK).,"[55.6680529, 12.5439823]",2100,200
Monday Juke Joint.,"[55.6756788, 12.5735544]",2130,
Gospelkor Julekoncert.,"[None, None]",1600,
Koncert: Morgendagens violinstjerner.,"[55.68100339999999, 12.5303327]",1630,
Foredrag: Lyden af Asien.,"[55.68221, 12.5525251]",1700,
Julekoncert med gospelkoret.,"[None, None]",1900,
Adventskoncert.,"['None', 'None']",1930,
Trio Amerise og Folkeando - Argentinske folketoner.,"['None', 'None']",1930,90
Spillemandsdansen spiller op til folkedans på Lindegaarden.,"[55.776205, 12.5050708]",1930,100
Back To The Roots Tour Part 2 - Dirkschneider (DE) + support.,"['None', 'None']",2000,295
International barokstjerne - Paolo Pandolfo.,"[55.6733994, 12.5826588]",2000,90
Op af stolen - ud i rummet.,"[55.686089, 12.533412]",2000,
Widowspeak (USA).,"[55.6680687, 12.5444302]",2000,125
Hugo Helmig.,"[55.677125, 12.5651939]",2000,175
Les Voix Humaines Viol Consort - OH HENRY! Purcell's complete Fantasias.,"[55.68688880000001, 12.5577921]",2000,100
Julekoncert med Danske Bank Notes.,"[55.6375361, 12.6414879]",2000,
Open mic for RBU.,"[55.67636659999999, 12.5747082]",2000,25
Mammút (IS).,"[55.6680687, 12.5444302]",2000,105
"ARS NOVA Copenhagen: Old World, New World.","[55.6817515, 12.5894416]",2000,140
Scarlet Pleasure (DK) - ekstra koncert - VENTELISTE.,"[55.6680529, 12.5439823]",2000,225
SAGA - 40th Anniversary - The Final Chapter Tour 2017 - UDSOLGT.,"['None', 'None']",2000,325
Von Bülow / Kristiansen / Franck Trio.,"[None, None]",2100,112
African Night.,"[55.6756788, 12.5735544]",2130,
Reformationsjubilæum 2017 - Hvad skete der egentlig for 500 år siden?,"['None', 'None']",1400,
Koncert med Blåklokkerne.,"[55.6321998, 12.6227412]",1600,
Onsdagskoncert.,"[55.66455999999999, 12.57722]",1700,
Koncert med Rytmisk Center.,"[55.671907, 12.5552659]",1800,
Regnbuer og drømme - tyrkisk og kurdisk folkemusik.,"[55.6842907, 12.5822063]",1900,50
"Kammermusikforeningen af 1911, Trio con Brio, Jens Elvekjær, Soo-Jin Hong og Soo-Kyung Hong.","[55.6817515, 12.5894416]",1930,130
"AmadeusEnsemblet og Westenholz spiller Gade, Bartok og Mozart.","[55.6766342, 12.5836015]",1930,100
Debutkoncert - Erlendis Quartet.,"[55.68111589999999, 12.5528412]",1930,
"AmadeusEnsemblet og Elisabeth Westenholz spiller Gade, Bartok og Mozart.","[55.6766342, 12.5836015]",1930,100
The Minds Of 99.,"[55.68821699999999, 12.555617]",2000,330
Queen + Adam Lambert - Udsolgt/venteliste.,"[55.6252114, 12.5736741]",2000,500
Shaka Loveless.,"[55.6575405, 12.5905654]",2000,195
Calan.,"[55.7305364, 12.3522152]",2000,140
Kathrine Windfeld Sekstet.,"[55.7700496, 12.4996326]",2000,50
Nu Amsterdam Project På Loppen.,"[55.673854, 12.597078]",2030,90
Josh Rouse (US).,"[55.6680529, 12.5439823]",2100,180
Togeby / zum Vohrde Quintet.,"[None, None]",2100,112
Soulful Tuesday.,"[55.6756788, 12.5735544]",2130,
Adventskoncert med Stemmegaflerne og Joes Angels.,"[55.69491069999999, 12.5581153]",1300,
Musikskolens julekoncert.,"[55.738248, 12.432386]",1600,
Onsdagskoncert.,"[55.68688880000001, 12.5577921]",1700,
Workshop: Lyden af Asien.,"[55.68221, 12.5525251]",1700,
OnsdagsFilm: Barndommens Gade.,"[55.68100339999999, 12.5303327]",1700,
Jazz: Moderne Jazz.,"[55.76075609999999, 12.4568021]",1900,
Charlotte Lembourn Band (50/50 koncert).,"['None', 'None']",1930,55
Debutkoncert - Niklas Walentin.,"[55.68111589999999, 12.5528412]",1930,
Julekoncert med Conductor og Line-up.,"[55.64605350000001, 12.3071937]",1930,50
Adventskoncert med Kammerkoret Pegasus.,"[55.7343566, 12.5728859]",1930,
Hush.,"[55.6575405, 12.5905654]",2000,270
Scorpions - Crazy World Tour.,"[55.6252114, 12.5736741]",2000,400
Katinka.,"[55.6680529, 12.5439823]",2000,185
True Nord.,"[55.677125, 12.5651939]",2000,225
Troels Jensen &amp; The Healers feat. Miriam Mandipira.,"[55.6808557, 12.5331994]",2000,
Sangkoncert.,"[55.6890936, 12.4509157]",2000,
Støttekoncert med Marie Carmen Koppel.,"[55.6715744, 12.5603597]",2000,
Julekoncert: Gospel Unusual.,"[55.7018511, 12.4980497]",2000,50
Husky Loops.,"[55.673854, 12.597078]",2030,50
Becker / Dørge / Carlsen.,"[None, None]",2100,112
Hoppleheads.,"[55.6756788, 12.5735544]",2130,
Christianshavns Gymnasiums julekoncert.,"[55.6725191, 12.5872964]",1700,
Julekoncert: Belmont Koret.,"['None', 'None']",1900,
Rocktalkshow med gæst: Steffen Jungersen alias Dr. Rock.,"[55.6321998, 12.6227412]",1900,30
HOT-koncert.,"[55.60288629999999, 12.5876567]",1900,
Händels Messias (light).,"[55.6966243, 12.5446128]",1900,
"Juleoratoriet, I.","[55.6575405, 12.5905654]",1930,73
Syng Sammen Aften.,"[None, None]",1930,
Introduktion til kinesisk musik.,"[55.68221, 12.5525251]",1930,
Magtens Korridorer (DK) Ekstra koncert.,"[55.6680529, 12.5439823]",1930,290
Jazz på vinbar B9.,"['None', 'None']",1930,
Spil Dansk: Jazzpaletten og Rikke Duelund.,"[55.7597679, 12.3389448]",1930,
Korkoncert med MaJazz.,"[55.6929642, 12.5442185]",1930,
Sekten Releasekoncert.,"[55.68821699999999, 12.555617]",2000,75
Ronnie Cuber &amp; Danish All Stars B-3 Band.,"[55.681945, 12.582381]",2000,305
Mwuana (SE).,"[55.6680687, 12.5444302]",2000,115
Julekoncert med kor og orkester fra Aurehøj Gymnasium.,"[55.7320396, 12.5406703]",2000,
Julekoncert: Con Brio-koret synger Mozart.,"[55.6536661, 12.3044149]",2000,
Nours Musikcafé.,"[55.691509, 12.560503]",2000,50
Sleep Party People.,"[55.6575405, 12.5905654]",2100,145
Nussbaum &amp; Illebog.,"[55.686089, 12.533412]",2100,80
Tops (US) + support.,"[55.67636659999999, 12.5747082]",2100,100
Clara Vuust Quintet.,"[None, None]",2100,112
Bohren &amp; Der Club of Gore (DE).,"[55.6680529, 12.5439823]",2200,165
Blues Jam.,"[55.6756788, 12.5735544]",2200,
Matiné.,"[55.6890936, 12.4509157]",1100,
Fællessang.,"[55.649234, 12.503279]",1300,
Klokkespilskoncert.,"[55.6729387, 12.5942102]",1500,
"Verdenspremiere ""BASSCHOK !"" Fonnesbæk, Bodilsen &amp; Petri.","[55.68379270000001, 12.5762312]",1530,120
December jazz.,"[55.6321998, 12.6227412]",1530,
Fredagskoncert.,"[55.6815933, 12.5761475]",1630,
Julekalenderkoncert med Vokalgruppen RUM.,"[55.6929642, 12.5442185]",1630,
Bjarke Mogensen spiller Domenico Scarlatti.,"[55.6718189, 12.5276756]",1700,
Advent I.,"[55.6799666, 12.5289164]",1700,
Lystændingsfest på Vesterbros Torv.,"[55.671907, 12.5552659]",1700,
Adventskoncert med Trio con Brio.,"[55.6799666, 12.5289164]",1700,
Bouzouki og Buffet.,"[55.66796, 12.5480313]",1800,199
"Juleoratoriet, I.","[55.6575405, 12.5905654]",1930,73
Drømmende poetisk ambientkoncert i Frihavnskirken.,"['None', 'None']",1930,50
Niels Skousen - Solo // Udsolgt.,"[55.6467245, 12.5300743]",1930,
Spirit of New Orleans.,"[55.62326359999999, 12.4235991]",None,100
Koncert sang og orgel.,"[55.684364, 12.541787]",1930,
Adventskoncert med Hans Egedes Kirkekor og Lundehus Kirkes kor.,"['None', 'None']",1930,
Stig Rossen Julekoncert 2017.,"[55.65525909999999, 12.2956019]",2000,420
Marc Facchini (DK).,"[55.6680687, 12.5444302]",2000,140
Ronnie Cuber &amp; Danish All Stars B-3 Band.,"[55.681945, 12.582381]",2000,335
Koncert med The Real Group.,"[55.6725191, 12.5872964]",2000,
Amagerbro Jazz: Pierre Dørge & New Jungle Orchestra.,"[55.6652, 12.603869]",2000,100
Rust Live.,"[55.691235, 12.5592894]",2030,
Phønix.,"[55.686089, 12.533412]",2030,80
Marvelous Mosell.,"[55.677125, 12.5651939]",2100,190
Temple of Doom præsenterer: Artillery.,"[55.7700496, 12.4996326]",2100,125
Wolf Parade.,"[55.673854, 12.597078]",2100,220
Rattlers - Power Rock/Blues.,"[55.6808557, 12.5331994]",2100,110
Manish Pingle Duo feat. Mirwais Fedai (IN/DK).,"[55.6915274, 12.560277]",2100,120
Paul Harrison Band.,"[55.8155789, 12.4025647]",2100,125
